pl_name,hostname,disc_year,discoverymethod,disc_facility 
"""WASP-79 b""","""WASP-79""",2012,"""Transit""","""SuperWASP"""
"""HAT-P-7 b""","""HAT-P-7""",2008,"""Transit""","""HATNet"""
"""WASP-12 b""","""WASP-12""",2008,"""Transit""","""SuperWASP"""
"""TOI-1272 b""","""TOI-1272""",2022,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""TrES-2 b""","""TrES-2""",2006,"""Transit""","""TrES"""
"""Kepler-7 b""","""Kepler-7""",2009,"""Transit""","""Kepler"""
"""Kepler-25 b""","""Kepler-25""",2011,"""Transit""","""Kepler"""
"""HATS-3 b""","""HATS-3""",2013,"""Transit""","""HATSouth"""
"""K2-275 c""","""K2-275""",2018,"""Transit""","""K2"""
"""Kepler-14 b""","""Kepler-14""",2011,"""Transit""","""Kepler"""
"""WASP-17 b""","""WASP-17""",2009,"""Transit""","""SuperWASP"""
"""AU Mic b""","""AU Mic""",2020,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""Kepler-428 b""","""Kepler-428""",2014,"""Transit""","""Kepler"""
"""Kepler-396 c""","""Kepler-396""",2013,"""Transit""","""Kepler"""
"""HATS-14 b""","""HATS-14""",2015,"""Transit""","""HATSouth"""
"""TOI-216.02""","""TOI-216""",2019,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""K2-271 b""","""K2-271""",2018,"""Transit""","""K2"""
"""K2-132 b""","""K2-132""",2017,"""Transit""","""K2"""
"""K2-3 b""","""K2-3""",2015,"""Transit""","""K2"""
"""Kepler-15 b""","""Kepler-15""",2011,"""Transit""","""Kepler"""
"""Kepler-68 b""","""Kepler-68""",2013,"""Transit""","""Kepler"""
"""TOI-1728 b""","""TOI-1728""",2020,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""KOI-94 d""","""KOI-94""",2013,"""Transit""","""Kepler"""
"""TOI-3629 b""","""TOI-3629""",2022,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""WASP-55 b""","""WASP-55""",2012,"""Transit""","""SuperWASP"""
"""K2-100 b""","""K2-100""",2016,"""Transit""","""K2"""
"""OGLE2-TR-L9 b""","""OGLE2-TR-L9""",2008,"""Transit""","""OGLE"""
"""Kepler-8 b""","""Kepler-8""",2010,"""Transit""","""Kepler"""
"""HATS-25 b""","""HATS-25""",2016,"""Transit""","""HATSouth"""
"""TOI-1201 b""","""TOI-1201""",2021,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""WASP-12 b""","""WASP-12""",2008,"""Transit""","""SuperWASP"""
"""Kepler-1756 b""","""Kepler-1756""",2021,"""Transit""","""Kepler"""
"""NGTS-3 A b""","""NGTS-3 A""",2018,"""Transit""","""Paranal Observatory"""
"""K2-174 b""","""K2-174""",2018,"""Transit""","""K2"""
"""Kepler-762 b""","""Kepler-762""",2016,"""Transit""","""Kepler"""
"""K2-113 b""","""K2-113""",2017,"""Transit""","""K2"""
"""HAT-P-6 b""","""HAT-P-6""",2007,"""Transit""","""HATNet"""
"""WASP-18 b""","""WASP-18""",2009,"""Transit""","""SuperWASP"""
"""WASP-101 b""","""WASP-101""",2014,"""Transit""","""SuperWASP"""
"""Kepler-8 b""","""Kepler-8""",2010,"""Transit""","""Kepler"""
"""HAT-P-16 b""","""HAT-P-16""",2010,"""Transit""","""HATNet"""
"""HAT-P-2 b""","""HAT-P-2""",2007,"""Transit""","""HATNet"""
"""TOI-1685 b""","""TOI-1685""",2021,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""WASP-8 b""","""WASP-8""",2010,"""Transit""","""SuperWASP"""
"""K2-3 c""","""K2-3""",2015,"""Transit""","""K2"""
"""Kepler-8 b""","""Kepler-8""",2010,"""Transit""","""Kepler"""
"""WASP-97 b""","""WASP-97""",2014,"""Transit""","""SuperWASP"""
"""KELT-6 b""","""KELT-6""",2014,"""Transit""","""KELT"""
"""Kepler-6 b""","""Kepler-6""",2009,"""Transit""","""Kepler"""
"""Kepler-75 b""","""Kepler-75""",2013,"""Transit""","""Kepler"""
"""L 98-59 b""","""L 98-59""",2019,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""TrES-2 b""","""TrES-2""",2006,"""Transit""","""TrES"""
"""XO-3 b""","""XO-3""",2007,"""Transit""","""XO"""
"""55 Cnc b""","""55 Cnc""",1996,"""Radial Velocity""","""Lick Observatory"""
"""GJ 3470 b""","""GJ 3470""",2012,"""Radial Velocity""","""La Silla Observatory"""
"""Kepler-412 b""","""Kepler-412""",2014,"""Transit""","""Kepler"""
"""HATS-17 b""","""HATS-17""",2016,"""Transit""","""HATSouth"""
"""Qatar-1 b""","""Qatar-1""",2010,"""Transit""","""Qatar"""
"""K2-167 b""","""K2-167""",2018,"""Transit""","""K2"""
"""HAT-P-25 b""","""HAT-P-25""",2010,"""Transit""","""HATNet"""
"""TOI-1759 b""","""TOI-1759""",2022,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""K2-97 b""","""K2-97""",2016,"""Transit""","""K2"""
"""WASP-13 b""","""WASP-13""",2009,"""Transit""","""SuperWASP"""
"""K2-97 b""","""K2-97""",2016,"""Transit""","""K2"""
"""Kepler-411 d""","""Kepler-411""",2018,"""Transit""","""Kepler"""
"""CoRoT-18 b""","""CoRoT-18""",2011,"""Transit""","""CoRoT"""
"""WASP-105 b""","""WASP-105""",2017,"""Transit""","""SuperWASP-South"""
"""TrES-1 b""","""TrES-1""",2004,"""Transit""","""TrES"""
"""K2-19 c""","""K2-19""",2015,"""Transit""","""K2"""
"""WASP-4 b""","""WASP-4""",2007,"""Transit""","""SuperWASP"""
"""WASP-96 b""","""WASP-96""",2014,"""Transit""","""SuperWASP"""
"""Kepler-68 c""","""Kepler-68""",2013,"""Transit""","""Kepler"""
"""Kepler-5 b""","""Kepler-5""",2009,"""Transit""","""Kepler"""
"""WASP-161 b""","""WASP-161""",2018,"""Transit""","""SuperWASP-South"""
"""K2-25 b""","""K2-25""",2015,"""Transit""","""K2"""
"""Qatar-8 b""","""Qatar-8""",2019,"""Transit""","""Qatar"""
"""Kepler-485 b""","""Kepler-485""",2016,"""Transit""","""Kepler"""
"""Kepler-129 c""","""Kepler-129""",2014,"""Transit""","""Kepler"""
"""Kepler-1820 b""","""Kepler-1820""",2021,"""Transit""","""Kepler"""
"""Kepler-1683 b""","""Kepler-1683""",2020,"""Transit""","""Kepler"""
"""Kepler-1829 b""","""Kepler-1829""",2021,"""Transit""","""Kepler"""
"""Kepler-1848 b""","""Kepler-1848""",2021,"""Transit""","""Kepler"""
"""K2-391 b""","""K2-391""",2022,"""Transit""","""K2"""
"""Kepler-1895 b""","""Kepler-1895""",2021,"""Transit""","""Kepler"""
"""Kepler-1530 c""","""Kepler-1530""",2016,"""Transit""","""Kepler"""
"""Kepler-1958 b""","""Kepler-1958""",2021,"""Transit""","""Kepler"""
"""Kepler-1793 b""","""Kepler-1793""",2021,"""Transit""","""Kepler"""
"""Kepler-305 e""","""Kepler-305""",2020,"""Transit""","""Kepler"""
"""Kepler-501 c""","""Kepler-501""",2021,"""Transit""","""Kepler"""
"""Kepler-1322 b""","""Kepler-1322""",2016,"""Transit""","""Kepler"""
"""Kepler-1719 b""","""Kepler-1719""",2021,"""Transit""","""Kepler"""
"""Kepler-462 c""","""Kepler-462""",2020,"""Transit""","""Kepler"""
"""Kepler-1911 b""","""Kepler-1911""",2021,"""Transit""","""Kepler"""
"""Kepler-1664 b""","""Kepler-1664""",2020,"""Transit""","""Kepler"""
"""Kepler-396 b""","""Kepler-396""",2013,"""Transit""","""Kepler"""
"""Kepler-12 b""","""Kepler-12""",2011,"""Transit""","""Kepler"""
"""AU Mic c""","""AU Mic""",2021,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""WASP-7 b""","""WASP-7""",2008,"""Transit""","""SuperWASP"""
"""Kepler-447 b""","""Kepler-447""",2015,"""Transit""","""Kepler"""
"""WASP-75 b""","""WASP-75""",2013,"""Transit""","""SuperWASP"""
"""K2-34 b""","""K2-34""",2016,"""Transit""","""K2"""
"""DS Tuc A b""","""DS Tuc A""",2019,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""WASP-50 b""","""WASP-50""",2011,"""Transit""","""SuperWASP"""
"""KOI-94 e""","""KOI-94""",2013,"""Transit""","""Kepler"""
"""HAT-P-12 b""","""HAT-P-12""",2009,"""Transit""","""HATNet"""
"""HATS-75 b""","""HATS-75""",2021,"""Transit""","""HATSouth"""
"""TOI-763 c""","""TOI-763""",2020,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""HR 858 c""","""HR 858""",2019,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""K2-18 b""","""K2-18""",2015,"""Transit""","""K2"""
"""HAT-P-24 b""","""HAT-P-24""",2010,"""Transit""","""HATNet"""
"""HAT-P-42 b""","""HAT-P-42""",2012,"""Transit""","""HATNet"""
"""WASP-61 b""","""WASP-61""",2012,"""Transit""","""SuperWASP"""
"""WASP-88 b""","""WASP-88""",2014,"""Transit""","""SuperWASP"""
"""WASP-14 b""","""WASP-14""",2008,"""Transit""","""SuperWASP"""
"""WASP-127 b""","""WASP-127""",2016,"""Transit""","""SuperWASP"""
"""HATS-59 b""","""HATS-59""",2018,"""Transit""","""HATSouth"""
"""Kepler-428 b""","""Kepler-428""",2014,"""Transit""","""Kepler"""
"""K2-19 c""","""K2-19""",2015,"""Transit""","""K2"""
"""WASP-16 b""","""WASP-16""",2009,"""Transit""","""SuperWASP"""
"""TOI-892 b""","""TOI-892""",2020,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""K2-113 b""","""K2-113""",2017,"""Transit""","""K2"""
"""Kepler-1892 b""","""Kepler-1892""",2021,"""Transit""","""Kepler"""
"""Kepler-1794 b""","""Kepler-1794""",2021,"""Transit""","""Kepler"""
"""Kepler-1921 b""","""Kepler-1921""",2021,"""Transit""","""Kepler"""
"""Kepler-1936 b""","""Kepler-1936""",2021,"""Transit""","""Kepler"""
"""Kepler-1468 d""","""Kepler-1468""",2021,"""Transit""","""Kepler"""
"""Kepler-281 d""","""Kepler-281""",2021,"""Transit""","""Kepler"""
"""Kepler-1312 c""","""Kepler-1312""",2021,"""Transit""","""Kepler"""
"""Kepler-1732 b""","""Kepler-1732""",2021,"""Transit""","""Kepler"""
"""Kepler-716 c""","""Kepler-716""",2020,"""Transit""","""Kepler"""
"""Kepler-324 e""","""Kepler-324""",2021,"""Transit""","""Kepler"""
"""Kepler-1825 b""","""Kepler-1825""",2021,"""Transit""","""Kepler"""
"""Kepler-1836 b""","""Kepler-1836""",2021,"""Transit""","""Kepler"""
"""Kepler-1890 b""","""Kepler-1890""",2021,"""Transit""","""Kepler"""
"""Kepler-1952 b""","""Kepler-1952""",2021,"""Transit""","""Kepler"""
"""Kepler-324 c""","""Kepler-324""",2014,"""Transit""","""Kepler"""
"""Kepler-1811 b""","""Kepler-1811""",2021,"""Transit""","""Kepler"""
"""Kepler-381 b""","""Kepler-381""",2014,"""Transit""","""Kepler"""
"""Kepler-647 c""","""Kepler-647""",2020,"""Transit""","""Kepler"""
"""Kepler-1922 b""","""Kepler-1922""",2021,"""Transit""","""Kepler"""
"""K2-395 c""","""K2-395""",2022,"""Transit""","""K2"""
"""Kepler-783 b""","""Kepler-783""",2016,"""Transit""","""Kepler"""
"""Kepler-1694 b""","""Kepler-1694""",2020,"""Transit""","""Kepler"""
"""Kepler-352 d""","""Kepler-352""",2021,"""Transit""","""Kepler"""
"""Kepler-1848 b""","""Kepler-1848""",2021,"""Transit""","""Kepler"""
"""Kepler-352 c""","""Kepler-352""",2014,"""Transit""","""Kepler"""
"""Kepler-1844 b""","""Kepler-1844""",2021,"""Transit""","""Kepler"""
"""Kepler-1891 b""","""Kepler-1891""",2021,"""Transit""","""Kepler"""
"""Kepler-1957 b""","""Kepler-1957""",2021,"""Transit""","""Kepler"""
"""Kepler-529 b""","""Kepler-529""",2016,"""Transit""","""Kepler"""
"""Kepler-1266 b""","""Kepler-1266""",2016,"""Transit""","""Kepler"""
"""Kepler-1800 b""","""Kepler-1800""",2021,"""Transit""","""Kepler"""
"""Kepler-1684 b""","""Kepler-1684""",2020,"""Transit""","""Kepler"""
"""Kepler-1739 b""","""Kepler-1739""",2021,"""Transit""","""Kepler"""
"""Kepler-1676 b""","""Kepler-1676""",2020,"""Transit""","""Kepler"""
"""Kepler-1769 b""","""Kepler-1769""",2021,"""Transit""","""Kepler"""
"""Kepler-1668 b""","""Kepler-1668""",2020,"""Transit""","""Kepler"""
"""Kepler-1794 b""","""Kepler-1794""",2021,"""Transit""","""Kepler"""
"""Kepler-1711 b""","""Kepler-1711""",2021,"""Transit""","""Kepler"""
"""Kepler-1961 b""","""Kepler-1961""",2021,"""Transit""","""Kepler"""
"""Kepler-1784 b""","""Kepler-1784""",2021,"""Transit""","""Kepler"""
"""HAT-P-22 b""","""HAT-P-22""",2010,"""Transit""","""HATNet"""
"""BD-11 4672 b""","""BD-11 4672""",2014,"""Radial Velocity""","""La Silla Observatory"""
"""Kepler-1830 b""","""Kepler-1830""",2021,"""Transit""","""Kepler"""
"""TOI-628 b""","""TOI-628""",2021,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""KELT-8 b""","""KELT-8""",2015,"""Transit""","""KELT"""
"""Qatar-1 b""","""Qatar-1""",2010,"""Transit""","""Qatar"""
"""Kepler-396 c""","""Kepler-396""",2013,"""Transit""","""Kepler"""
"""K2-45 b""","""K2-45""",2016,"""Transit""","""K2"""
"""K2-330 b""","""K2-330""",2016,"""Transit""","""K2"""
"""WASP-100 b""","""WASP-100""",2014,"""Transit""","""SuperWASP"""
"""Kepler-77 b""","""Kepler-77""",2013,"""Transit""","""Kepler"""
"""TOI-1696 b""","""TOI-1696""",2022,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""WASP-49 b""","""WASP-49""",2012,"""Transit""","""SuperWASP"""
"""TOI-257 b""","""TOI-257""",2021,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""WASP-132 b""","""WASP-132""",2016,"""Transit""","""SuperWASP-South"""
"""Kepler-5 b""","""Kepler-5""",2009,"""Transit""","""Kepler"""
"""HAT-P-31 b""","""HAT-P-31""",2011,"""Transit""","""HATNet"""
"""WASP-58 b""","""WASP-58""",2012,"""Transit""","""SuperWASP"""
"""WASP-39 b""","""WASP-39""",2011,"""Transit""","""SuperWASP"""
"""Kepler-423 b""","""Kepler-423""",2014,"""Transit""","""Kepler"""
"""Kepler-76 b""","""Kepler-76""",2013,"""Orbital Brightness Modulation""","""Kepler"""
"""HATS-63 b""","""HATS-63""",2018,"""Transit""","""HATSouth"""
"""HATS-5 b""","""HATS-5""",2014,"""Transit""","""HATSouth"""
"""HATS-40 b""","""HATS-40""",2018,"""Transit""","""HATSouth"""
"""HATS-33 b""","""HATS-33""",2016,"""Transit""","""HATSouth"""
"""HD 15337 b""","""HD 15337""",2019,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""KOI-94 c""","""KOI-94""",2013,"""Transit""","""Kepler"""
"""WASP-41 c""","""WASP-41""",2015,"""Radial Velocity""","""La Silla Observatory"""
"""WASP-41 b""","""WASP-41""",2012,"""Transit""","""SuperWASP"""
"""HD 17156 b""","""HD 17156""",2007,"""Radial Velocity""","""Subaru Telescope"""
"""HAT-P-27 b""","""HAT-P-27""",2011,"""Transit""","""HATNet"""
"""WASP-138 b""","""WASP-138""",2016,"""Transit""","""SuperWASP"""
"""WASP-4 b""","""WASP-4""",2007,"""Transit""","""SuperWASP"""
"""HD 183579 b""","""HD 183579""",2021,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""Kepler-1723 b""","""Kepler-1723""",2021,"""Transit""","""Kepler"""
"""Kepler-1673 b""","""Kepler-1673""",2020,"""Transit""","""Kepler"""
"""Kepler-1165 c""","""Kepler-1165""",2021,"""Transit""","""Kepler"""
"""Kepler-1530 c""","""Kepler-1530""",2016,"""Transit""","""Kepler"""
"""HD 106315 b""","""HD 106315""",2017,"""Transit""","""K2"""
"""Kepler-1860 b""","""Kepler-1860""",2021,"""Transit""","""Kepler"""
"""Kepler-1321 c""","""Kepler-1321""",2016,"""Transit""","""Kepler"""
"""Kepler-1266 c""","""Kepler-1266""",2021,"""Transit""","""Kepler"""
"""Kepler-1851 b""","""Kepler-1851""",2021,"""Transit""","""Kepler"""
"""Kepler-1861 b""","""Kepler-1861""",2021,"""Transit""","""Kepler"""
"""Kepler-1165 b""","""Kepler-1165""",2016,"""Transit""","""Kepler"""
"""Kepler-25 d""","""Kepler-25""",2014,"""Radial Velocity""","""W. M. Keck Observatory"""
"""TOI-172 b""","""TOI-172""",2019,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""55 Cnc e""","""55 Cnc""",2004,"""Radial Velocity""","""McDonald Observatory"""
"""55 Cnc d""","""55 Cnc""",2002,"""Radial Velocity""","""Lick Observatory"""
"""WASP-16 b""","""WASP-16""",2009,"""Transit""","""SuperWASP"""
"""WASP-96 b""","""WASP-96""",2014,"""Transit""","""SuperWASP"""
"""Kepler-435 b""","""Kepler-435""",2015,"""Transit""","""Kepler"""
"""Kepler-423 b""","""Kepler-423""",2014,"""Transit""","""Kepler"""
"""HAT-P-19 b""","""HAT-P-19""",2010,"""Transit""","""HATNet"""
"""WASP-66 b""","""WASP-66""",2012,"""Transit""","""SuperWASP"""
"""KELT-15 b""","""KELT-15""",2016,"""Transit""","""KELT-South"""
"""K2-136 b""","""K2-136""",2017,"""Transit""","""K2"""
"""Kepler-1656 b""","""Kepler-1656""",2018,"""Transit""","""Kepler"""
"""HAT-P-30 b""","""HAT-P-30""",2011,"""Transit""","""HATNet"""
"""LP 791-18 b""","""LP 791-18""",2019,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""GJ 3929 c""","""GJ 3929""",2022,"""Radial Velocity""","""Multiple Observatories"""
"""K2-18 b""","""K2-18""",2015,"""Transit""","""K2"""
"""Kepler-670 b""","""Kepler-670""",2016,"""Transit""","""Kepler"""
"""HAT-P-3 b""","""HAT-P-3""",2007,"""Transit""","""HATNet"""
"""HD 86226 b""","""HD 86226""",2009,"""Radial Velocity""","""Las Campanas Observatory"""
"""WASP-92 b""","""WASP-92""",2016,"""Transit""","""SuperWASP"""
"""WASP-28 b""","""WASP-28""",2014,"""Transit""","""SuperWASP"""
"""HIP 41378 f""","""HIP 41378""",2016,"""Transit""","""K2"""
"""KOI-94 e""","""KOI-94""",2013,"""Transit""","""Kepler"""
"""WASP-84 b""","""WASP-84""",2014,"""Transit""","""SuperWASP"""
"""HD 149026 b""","""HD 149026""",2005,"""Radial Velocity""","""Subaru Telescope"""
"""WASP-15 b""","""WASP-15""",2009,"""Transit""","""SuperWASP"""
"""TOI-1266 b""","""TOI-1266""",2020,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""TrES-2 b""","""TrES-2""",2006,"""Transit""","""TrES"""
"""KELT-16 b""","""KELT-16""",2017,"""Transit""","""KELT"""
"""HD 108236 b""","""HD 108236""",2020,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""WASP-47 e""","""WASP-47""",2015,"""Transit""","""K2"""
"""Kepler-352 c""","""Kepler-352""",2014,"""Transit""","""Kepler"""
"""Kepler-595 b""","""Kepler-595""",2016,"""Transit""","""Kepler"""
"""WASP-45 b""","""WASP-45""",2011,"""Transit""","""SuperWASP"""
"""KOI-94 c""","""KOI-94""",2013,"""Transit""","""Kepler"""
"""WASP-47 d""","""WASP-47""",2015,"""Transit""","""K2"""
"""Kepler-529 c""","""Kepler-529""",2016,"""Transit""","""Kepler"""
"""Kepler-25 c""","""Kepler-25""",2011,"""Transit""","""Kepler"""
"""TrES-1 b""","""TrES-1""",2004,"""Transit""","""TrES"""
"""K2-266 d""","""K2-266""",2018,"""Transit""","""K2"""
"""WASP-130 b""","""WASP-130""",2016,"""Transit""","""SuperWASP-South"""
"""K2-232 b""","""K2-232""",2018,"""Transit""","""K2"""
"""WASP-88 b""","""WASP-88""",2014,"""Transit""","""SuperWASP"""
"""K2-25 b""","""K2-25""",2015,"""Transit""","""K2"""
"""K2-188 c""","""K2-188""",2018,"""Transit""","""K2"""
"""TOI-216.02""","""TOI-216""",2019,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""HAT-P-7 b""","""HAT-P-7""",2008,"""Transit""","""HATNet"""
"""WASP-47 e""","""WASP-47""",2015,"""Transit""","""K2"""
"""WASP-22 b""","""WASP-22""",2010,"""Transit""","""SuperWASP"""
"""TrES-2 b""","""TrES-2""",2006,"""Transit""","""TrES"""
"""HATS-70 b""","""HATS-70""",2019,"""Transit""","""HATSouth"""
"""GJ 436 b""","""GJ 436""",2004,"""Radial Velocity""","""W. M. Keck Observatory"""
"""WASP-31 b""","""WASP-31""",2010,"""Transit""","""SuperWASP"""
"""TOI-2669 b""","""TOI-2669""",2022,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""WASP-183 b""","""WASP-183""",2019,"""Transit""","""SuperWASP"""
"""Kepler-447 b""","""Kepler-447""",2015,"""Transit""","""Kepler"""
"""K2-277 b""","""K2-277""",2018,"""Transit""","""K2"""
"""K2-277 b""","""K2-277""",2018,"""Transit""","""K2"""
"""XO-2 S b""","""XO-2 S""",2014,"""Radial Velocity""","""Roque de los Muchachos Observatory"""
"""K2-27 b""","""K2-27""",2016,"""Transit""","""K2"""
"""TOI-561 f""","""TOI-561""",2020,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""K2-19 b""","""K2-19""",2015,"""Transit""","""K2"""
"""K2-98 b""","""K2-98""",2016,"""Transit""","""K2"""
"""Kepler-1801 b""","""Kepler-1801""",2021,"""Transit""","""Kepler"""
"""Kepler-1822 b""","""Kepler-1822""",2021,"""Transit""","""Kepler"""
"""Kepler-1919 b""","""Kepler-1919""",2021,"""Transit""","""Kepler"""
"""TOI-1246 d""","""TOI-1246""",2022,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""Kepler-396 b""","""Kepler-396""",2013,"""Transit""","""Kepler"""
"""Kepler-63 b""","""Kepler-63""",2013,"""Transit""","""Kepler"""
"""HAT-P-50 b""","""HAT-P-50""",2015,"""Transit""","""HATNet"""
"""Kepler-68 b""","""Kepler-68""",2013,"""Transit""","""Kepler"""
"""Kepler-74 b""","""Kepler-74""",2013,"""Transit""","""Kepler"""
"""WASP-50 b""","""WASP-50""",2011,"""Transit""","""SuperWASP"""
"""WASP-17 b""","""WASP-17""",2009,"""Transit""","""SuperWASP"""
"""Kepler-396 c""","""Kepler-396""",2013,"""Transit""","""Kepler"""
"""TOI-544 b""","""TOI-544""",2022,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""K2-405 b""","""K2-405""",2022,"""Transit""","""K2"""
"""HD 2685 b""","""HD 2685""",2019,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""HAT-P-39 b""","""HAT-P-39""",2012,"""Transit""","""HATNet"""
"""WASP-141 b""","""WASP-141""",2016,"""Transit""","""SuperWASP-South"""
"""K2-346 b""","""K2-346""",2016,"""Transit""","""K2"""
"""WASP-4 b""","""WASP-4""",2007,"""Transit""","""SuperWASP"""
"""WASP-23 b""","""WASP-23""",2010,"""Transit""","""SuperWASP"""
"""HAT-P-66 b""","""HAT-P-66""",2016,"""Transit""","""HATNet"""
"""HATS-17 b""","""HATS-17""",2016,"""Transit""","""HATSouth"""
"""WASP-36 b""","""WASP-36""",2011,"""Transit""","""SuperWASP"""
"""WASP-180 A b""","""WASP-180 A""",2019,"""Transit""","""SuperWASP"""
"""K2-55 b""","""K2-55""",2016,"""Transit""","""K2"""
"""WASP-58 b""","""WASP-58""",2012,"""Transit""","""SuperWASP"""
"""HD 108236 c""","""HD 108236""",2020,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""WASP-44 b""","""WASP-44""",2011,"""Transit""","""SuperWASP"""
"""TOI-1478 b""","""TOI-1478""",2021,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""Kepler-68 b""","""Kepler-68""",2013,"""Transit""","""Kepler"""
"""Kepler-783 c""","""Kepler-783""",2020,"""Transit""","""Kepler"""
"""Kepler-27 d""","""Kepler-27""",2021,"""Transit""","""Kepler"""
"""Kepler-1668 b""","""Kepler-1668""",2020,"""Transit""","""Kepler"""
"""Kepler-1753 b""","""Kepler-1753""",2021,"""Transit""","""Kepler"""
"""Kepler-1796 b""","""Kepler-1796""",2021,"""Transit""","""Kepler"""
"""Kepler-1779 b""","""Kepler-1779""",2021,"""Transit""","""Kepler"""
"""K2-167 b""","""K2-167""",2018,"""Transit""","""K2"""
"""HAT-P-38 b""","""HAT-P-38""",2012,"""Transit""","""HATNet"""
"""WASP-84 b""","""WASP-84""",2014,"""Transit""","""SuperWASP"""
"""TrES-5 b""","""TrES-5""",2011,"""Transit""","""TrES"""
"""WASP-36 b""","""WASP-36""",2011,"""Transit""","""SuperWASP"""
"""XO-2 N b""","""XO-2 N""",2007,"""Transit""","""XO"""
"""55 Cnc e""","""55 Cnc""",2004,"""Radial Velocity""","""McDonald Observatory"""
"""TOI-942 c""","""TOI-942""",2020,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""Kepler-424 b""","""Kepler-424""",2014,"""Transit""","""Kepler"""
"""HAT-P-61 b""","""HAT-P-61""",2021,"""Transit""","""HATNet"""
"""WASP-72 b""","""WASP-72""",2012,"""Transit""","""SuperWASP"""
"""K2-3 b""","""K2-3""",2015,"""Transit""","""K2"""
"""WASP-142 b""","""WASP-142""",2016,"""Transit""","""SuperWASP-South"""
"""HAT-P-14 b""","""HAT-P-14""",2010,"""Transit""","""HATNet"""
"""Kepler-12 b""","""Kepler-12""",2011,"""Transit""","""Kepler"""
"""WASP-104 b""","""WASP-104""",2014,"""Transit""","""SuperWASP"""
"""HAT-P-2 b""","""HAT-P-2""",2007,"""Transit""","""HATNet"""
"""HD 110082 b""","""HD 110082""",2021,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""NGTS-20 b""","""NGTS-20""",2022,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""K2-55 b""","""K2-55""",2016,"""Transit""","""K2"""
"""WASP-49 b""","""WASP-49""",2012,"""Transit""","""SuperWASP"""
"""TOI-837 b""","""TOI-837""",2020,"""Transit""","""Transiting Exoplanet Survey Satellite (TESS)"""
"""Kepler-447 b""","""Kepler-447""",2015,"""Transit""","""Kepler"""
"""Kepler-45 b""","""Kepler-45""",2011,"""Transit""","""Kepler"""
"""HATS-18 b""","""HATS-18""",2016,"""Transit""","""Multiple Observatories"""
"""Qatar-6 b""","""Qatar-6""",2017,"""Transit""","""Qatar"""
"""Kepler-43 b""","""Kepler-43""",2011,"""Transit""","""Kepler"""
"""Kepler-411 b""","""Kepler-411""",2013,"""Transit""","""Kepler"""
"""K2-285 c""","""K2-285""",2018,"""Transit""","""K2"""
"""WASP-57 b""","""WASP-57""",2012,"""Transit""","""SuperWASP"""
"""WASP-100 b""","""WASP-100""",2014,"""Transit""","""SuperWASP"""
"""K2-105 b""","""K2-105""",2017,"""Transit""","""K2"""
"""K2-100 b""","""K2-100""",2016,"""Transit""","""K2"""
"""WASP-5 b""","""WASP-5""",2008,"""Transit""","""SuperWASP"""
"""HATS-74 A b""","""HATS-74 A""",2021,"""Transit""","""HATSouth"""
"""CoRoT-13 b""","""CoRoT-13""",2010,"""Transit""","""CoRoT"""
"""WASP-121 b""","""WASP-121""",2016,"""Transit""","""SuperWASP"""
